Image,Dice PCA1,IoU PCA1,Dice PCA2,IoU PCA2,Dice PCA3,IoU PCA3,Dice PCA4,IoU PCA4,Dice PCA5,IoU PCA5
ISIC_0015963,0.06518658478979689,0.03369140625,0.06518658478979689,0.03369140625,0.06518658478979689,0.03369140625,0.06518658478979689,0.03369140625,0.06518658478979689,0.03369140625
ISIC_0015173,0.5756759106320091,0.4041748046875,0.5756759106320091,0.4041748046875,0.5756759106320091,0.4041748046875,0.5756759106320091,0.4041748046875,0.5756759106320091,0.4041748046875
ISIC_0014822,0.48380529335554323,0.319091796875,0.48380529335554323,0.319091796875,0.48380529335554323,0.319091796875,0.48380529335554323,0.319091796875,0.48380529335554323,0.319091796875
ISIC_0014319,0.07549395458566795,0.03922770456634998,0.07549840745546774,0.03923010910874096,0.07549395458566795,0.03922770456634998,0.0754895022410946,0.03922530031870557,0.07548505042165478,0.03922289636575351
ISIC_0013170,0.39214656247947993,0.24389447030956465,0.3440753594447199,0.20778443113772455,0.3929464403210949,0.24451359318702914,0.3410775370581528,0.20560185582953863,0.37072707542051003,0.22754142036466574
ISIC_0013977,0.10073610386599433,0.05303955078125,0.08727606798346348,0.04562920268972142,0.08968609865470852,0.046948356807511735,0.08707865168539326,0.04552129221732746,0.09451476793248945,0.049601417183348095
ISIC_0013739,0.4764331210191083,0.31270903010033446,0.48991541964866625,0.3244291253769927,0.4623939127889962,0.30072325846973735,0.48338983050847456,0.31873044255699595,0.47225725094577553,0.3091209244737928
ISIC_0015404,0.7303161810291382,0.5751953125,0.7303161810291382,0.5751953125,0.7303161810291382,0.5751953125,0.7303161810291382,0.5751953125,0.7303161810291382,0.5751953125
ISIC_0013767,0.5766924480750847,0.4051776773720845,0.5766924480750847,0.4051776773720845,0.5766924480750847,0.4051776773720845,0.07928780080678814,0.04128041714947856,0.09276794291203513,0.04864009209958267
ISIC_0015013,0.6881255504844263,0.5245361328125,0.6881255504844263,0.5245361328125,0.6881255504844263,0.5245361328125,0.6881255504844263,0.5245361328125,0.6881255504844263,0.5245361328125
ISIC_0015283,0.5566029424720289,0.3856201171875,0.5566029424720289,0.3856201171875,0.5566029424720289,0.3856201171875,0.5566029424720289,0.3856201171875,0.5566029424720289,0.3856201171875
ISIC_0014807,0.7694156526964098,0.625244140625,0.7694156526964098,0.625244140625,0.7694156526964098,0.625244140625,0.7694156526964098,0.625244140625,0.7694156526964098,0.625244140625
ISIC_0014419,0.4607487638332941,0.2993330477880438,0.46020696142991535,0.29887585532746824,0.4607704624658566,0.2993513645820585,0.4602286090596924,0.29889411620944584,0.4607270672443021,0.29931473323543806
ISIC_0016045,0.03977409276616198,0.020290565806412066,0.03977170321417843,0.020289322054676963,0.03977170321417843,0.020289322054676963,0.3882845188284519,0.24091381100726894,0.039783653846153844,0.020295542338586058
ISIC_0012786,0.36095653481726575,0.22022389429253075,0.3608660785886127,0.22015655577299412,0.36095653481726575,0.22022389429253075,0.360938439943854,0.2202104232933692,0.36095653481726575,0.22022389429253075
ISIC_0012758,0.12228525585926307,0.06512451171875,0.12228525585926307,0.06512451171875,0.12228525585926307,0.06512451171875,0.12228525585926307,0.06512451171875,0.12228525585926307,0.06512451171875
